seed,mcs,species,volume,ncells,mel_site,mel_parcel
49,60,6,696,6,0.110979,0.109676
49,60,7,695,6,0.110612,0.109754
47,60,1,696,6,0.804727,0.804605
47,60,2,701,6,0.123426,0.123151
47,60,3,697,6,1.043138,1.041900
47,60,4,697,6,0.068452,0.068369
47,60,5,701,6,0.748580,0.748347
47,60,6,697,6,0.040993,0.040931
47,60,7,697,6,0.066228,0.066212
42,40,1,699,6,0.553266,0.553256
42,40,2,701,6,0.096309,0.096253
42,40,3,697,6,0.875918,0.876004
42,40,4,700,6,0.088257,0.088363
42,40,5,698,6,0.487105,0.486457
42,40,6,698,6,0.032339,0.032343
42,40,7,691,6,0.042339,0.042172
50,60,1,702,6,0.834192,0.834312
50,60,2,702,6,0.184880,0.184483
50,60,3,699,6,1.159749,1.157255
50,60,4,695,6,0.086771,0.086130
50,60,5,703,6,0.624332,0.623903
50,60,6,697,6,0.056045,0.056378
50,60,7,700,6,0.080168,0.079879
46,60,1,697,6,1.042388,1.042120
46,60,2,697,6,0.135578,0.135381
46,60,3,697,6,1.276719,1.275052
46,60,4,694,6,0.087724,0.087228
46,60,5,695,6,0.528832,0.528072
46,60,6,699,6,0.135875,0.136021
46,60,7,697,6,0.118337,0.118415
51,60,1,695,6,0.888561,0.887742
51,60,2,699,6,0.095619,0.095606
51,60,3,700,6,1.172185,1.170928
51,60,4,699,6,0.094190,0.093697
51,60,5,697,6,0.689559,0.687524
51,60,6,693,6,0.113285,0.113044
51,60,7,695,6,0.141653,0.141212
45,80,1,700,6,1.123883,1.122909
45,80,2,701,6,0.131418,0.131435
45,80,3,698,6,1.524309,1.523318
45,80,4,690,6,0.101245,0.100438
45,80,5,696,6,0.843995,0.841789
45,80,6,699,6,0.064799,0.064670
45,80,7,699,6,0.116456,0.116030
47,80,1,697,6,0.965105,0.964320
47,80,2,699,6,0.172685,0.172092
47,80,3,696,6,1.233751,1.232982
47,80,4,695,6,0.099137,0.098634
47,80,5,704,6,0.929951,0.928585
47,80,6,697,6,0.062829,0.062933
47,80,7,698,6,0.100206,0.100020
49,80,1,697,6,1.133113,1.131629
49,80,2,696,6,0.177638,0.177169
49,80,3,702,6,1.529594,1.528936
49,80,4,695,6,0.201468,0.200663
49,80,5,702,6,0.774799,0.774061
49,80,6,693,6,0.162544,0.162575
49,80,7,696,6,0.162287,0.161485
42,60,1,699,6,0.721378,0.721560
42,60,2,703,6,0.165201,0.164854
42,60,3,699,6,1.111121,1.110834
42,60,4,699,6,0.162318,0.162532
42,60,5,699,6,0.664515,0.663814
42,60,6,697,6,0.055649,0.055580
42,60,7,693,6,0.072884,0.072924
48,40,1,697,6,0.713573,0.712748
48,40,2,699,6,0.112958,0.112344
48,40,3,698,6,1.164844,1.164101
48,40,4,700,6,0.073983,0.073787
48,40,5,699,6,0.421406,0.421693
48,40,6,695,6,0.034190,0.034294
48,40,7,698,6,0.076992,0.076945
43,60,1,696,6,0.825738,0.825407
43,60,2,699,6,0.052031,0.051747
43,60,3,700,6,1.121480,1.120833
43,60,4,696,6,0.064457,0.064900
43,60,5,700,6,0.758815,0.758992
43,60,6,703,6,0.053041,0.053128
43,60,7,703,6,0.184736,0.185405
50,80,1,703,6,1.007182,1.006834
50,80,2,704,6,0.267592,0.266839
50,80,3,699,6,1.396521,1.394979
50,80,4,698,6,0.149934,0.148348
50,80,5,701,6,0.768731,0.767699
50,80,6,701,6,0.097806,0.097670
50,80,7,699,6,0.119812,0.119114
51,80,1,695,6,1.058420,1.057781
51,80,2,698,6,0.139294,0.139329
51,80,3,699,6,1.402407,1.401863
51,80,4,696,6,0.140042,0.138762
51,80,5,697,6,0.852498,0.849806
51,80,6,693,6,0.157713,0.157225
51,80,7,693,6,0.203239,0.202699
45,100,1,699,6,1.295398,1.294532
45,100,2,697,6,0.179986,0.179465
45,100,3,699,6,1.771382,1.770404
45,100,4,691,6,0.150896,0.149413
45,100,5,696,6,0.972453,0.971159
45,100,6,699,6,0.080289,0.080080
45,100,7,699,6,0.153119,0.152772
47,100,1,695,6,1.097455,1.095976
47,100,2,699,6,0.230430,0.229786
47,100,3,697,6,1.393409,1.392026
47,100,4,695,6,0.130006,0.129333
47,100,5,703,6,1.087161,1.086407
47,100,6,699,6,0.086255,0.086474
47,100,7,696,6,0.131932,0.131890
49,100,1,698,6,1.295560,1.293811
49,100,2,700,6,0.236555,0.235207
49,100,3,702,6,1.737221,1.736997
49,100,4,696,6,0.272203,0.271021
49,100,5,703,6,0.912112,0.910557
49,100,6,695,6,0.221135,0.220818
49,100,7,696,6,0.212222,0.211173
46,80,1,697,6,1.259173,1.257740
46,80,2,697,6,0.189720,0.189161
46,80,3,695,6,1.503880,1.501999
46,80,4,693,6,0.120609,0.119503
46,80,5,696,6,0.634993,0.634751
46,80,6,699,6,0.199866,0.200069
46,80,7,698,6,0.170671,0.170601
44,60,1,704,6,1.171141,1.171588
44,60,2,703,6,0.267798,0.267450
44,60,3,697,6,1.264100,1.263326
44,60,4,700,6,0.128835,0.128747
44,60,5,698,6,0.549760,0.549485
44,60,6,698,6,0.059400,0.059256
44,60,7,696,6,0.186310,0.186246
42,80,1,695,6,0.855882,0.855963
42,80,2,704,6,0.225741,0.225122
42,80,3,698,6,1.295751,1.295197
42,80,4,699,6,0.243514,0.243916
42,80,5,700,6,0.806713,0.806096
42,80,6,698,6,0.087467,0.087233
42,80,7,693,6,0.102322,0.102303
43,80,1,695,6,0.964283,0.963735
43,80,2,699,6,0.085620,0.085276
43,80,3,695,6,1.321728,1.321169
43,80,4,698,6,0.097959,0.098492
43,80,5,700,6,0.934944,0.934624
43,80,6,701,6,0.084799,0.084810
43,80,7,703,6,0.254120,0.254708
50,100,1,700,6,1.166557,1.165997
50,100,2,704,6,0.357215,0.356209
50,100,3,702,6,1.586702,1.585581
50,100,4,698,6,0.212622,0.211168
50,100,5,701,6,0.900515,0.899382
50,100,6,697,6,0.137783,0.137561
50,100,7,700,6,0.164530,0.163291
51,100,1,696,6,1.204383,1.203805
51,100,2,699,6,0.183540,0.182990
51,100,3,701,6,1.598507,1.597414
51,100,4,697,6,0.182823,0.181208
51,100,5,698,6,0.988068,0.985469
51,100,6,692,6,0.205620,0.203970
51,100,7,693,6,0.268392,0.267650
45,120,1,699,6,1.447364,1.446984
45,120,2,700,6,0.228241,0.227911
45,120,3,700,6,1.985799,1.982904
45,120,4,691,6,0.195264,0.194030
45,120,5,698,6,1.090425,1.088201
45,120,6,699,6,0.099552,0.099394
45,120,7,698,6,0.194916,0.194231
47,120,1,696,6,1.209841,1.208783
47,120,2,703,6,0.289802,0.288859
47,120,3,699,6,1.521507,1.520139
47,120,4,695,6,0.164149,0.163674
47,120,5,699,6,1.240329,1.239228
47,120,6,699,6,0.114043,0.114078
47,120,7,696,6,0.170512,0.170579
49,120,1,698,6,1.417735,1.416330
49,120,2,699,6,0.275983,0.274891
49,120,3,700,6,1.941216,1.941125
49,120,4,695,6,0.346909,0.344478
49,120,5,701,6,1.045513,1.043972
49,120,6,693,6,0.278026,0.277801
49,120,7,696,6,0.274171,0.272811
42,100,1,698,6,0.973334,0.972994
42,100,2,703,6,0.298574,0.298283
42,100,3,698,6,1.437157,1.436475
42,100,4,701,6,0.312091,0.312615
42,100,5,698,6,0.938622,0.938168
42,100,6,698,6,0.119718,0.120206
42,100,7,692,6,0.132491,0.132258
43,100,1,696,6,1.082175,1.081458
43,100,2,699,6,0.119461,0.118874
43,100,3,697,6,1.488032,1.487035
43,100,4,698,6,0.132141,0.132803
43,100,5,699,6,1.081524,1.082010
43,100,6,699,6,0.118162,0.118033
43,100,7,702,6,0.314302,0.315079
51,120,1,696,6,1.340929,1.339634
51,120,2,698,6,0.226215,0.225678
51,120,3,697,6,1.768791,1.768290
51,120,4,698,6,0.243171,0.240624
51,120,5,696,6,1.104169,1.100803
51,120,6,693,6,0.245415,0.244424
51,120,7,695,6,0.327119,0.326258
50,120,1,704,6,1.328282,1.327782
50,120,2,702,6,0.431622,0.430591
50,120,3,700,6,1.750584,1.749954
50,120,4,696,6,0.279321,0.276645
50,120,5,701,6,1.010434,1.009027
50,120,6,696,6,0.180189,0.180375
50,120,7,701,6,0.202733,0.201983
45,140,1,702,6,1.572278,1.569433
45,140,2,701,6,0.272942,0.272528
45,140,3,699,6,2.179238,2.176229
45,140,4,689,6,0.235810,0.233888
45,140,5,700,6,1.202550,1.200593
45,140,6,698,6,0.120658,0.120601
45,140,7,698,6,0.236389,0.235485
47,140,1,697,6,1.306839,1.304764
47,140,2,700,6,0.340057,0.339627
47,140,3,700,6,1.636037,1.633948
47,140,4,697,6,0.195345,0.193974
47,140,5,702,6,1.375790,1.373517
47,140,6,699,6,0.144912,0.144933
47,140,7,698,6,0.206657,0.206370
48,60,1,698,6,0.946598,0.945093
48,60,2,701,6,0.213268,0.212308
48,60,3,704,6,1.560761,1.557868
48,60,4,701,6,0.122368,0.121812
48,60,5,697,6,0.555626,0.555467
48,60,6,700,6,0.064117,0.064315
48,60,7,698,6,0.140634,0.140157
49,140,1,697,6,1.536288,1.534782
49,140,2,699,6,0.331124,0.329246
49,140,3,701,6,2.117669,2.116991
49,140,4,697,6,0.410970,0.409797
49,140,5,701,6,1.160216,1.159846
49,140,6,695,6,0.332270,0.331009
49,140,7,694,6,0.328261,0.326036
46,100,1,696,6,1.430361,1.428596
46,100,2,694,6,0.235927,0.235585
46,100,3,697,6,1.700894,1.698083
46,100,4,693,6,0.153935,0.152867
46,100,5,695,6,0.728804,0.727532
46,100,6,699,6,0.261453,0.261775
46,100,7,696,6,0.224375,0.224134
44,80,1,704,6,1.429216,1.428501
44,80,2,702,6,0.382259,0.381920
44,80,3,700,6,1.509540,1.508756
44,80,4,700,6,0.188748,0.188818
44,80,5,697,6,0.690759,0.690501
44,80,6,696,6,0.090927,0.091176
